Date,ANZ.AX,BHP.AX,WTC.AX
2018/12/27,19.988312,25.883982,16.466383
2018/12/28,20.528084,25.732389,16.386837
2018/12/31,20.629286,25.944616,16.804466
2019/1/2,20.123255,25.52774,16.933731
2019/1/3,20.528084,25.52774,17.102768
2019/1/4,20.452177,25.30036,16.376896
2019/1/7,20.73893,26.065886,17.291691
2019/1/8,20.966644,26.096205,17.868414
2019/1/9,21.244963,25.997669,18.39542
2019/1/10,21.363035,26.197468,18.743441
2019/1/11,21.28713,25.920788,19.021854
2019/1/14,21.396774,25.857548,19.001972
2019/1/15,21.54015,26.134226,18.972139
2019/1/16,21.71726,26.03146,19.62841
2019/1/17,21.877504,25.984028,19.220726
2019/1/18,21.987143,26.173752,19.250555
2019/1/21,22.088352,26.2449,19.588638
2019/1/22,21.767862,25.90498,19.638355
2019/1/23,21.683523,25.79431,19.359938
2019/1/24,21.860638,25.786402,19.638355
2019/1/25,22.088352,26.12632,20.185246
2019/1/29,21.573883,26.671774,19.867052
2019/1/30,21.489546,27.35161,19.379822
2019/1/31,21.110023,27.533426,20.225018
2019/2/1,21.025684,27.667818,20.553152
2019/2/4,21.270264,27.667818,20.215073
2019/2/5,22.653421,27.976112,20.334396
2019/2/6,22.273899,28.442516,21.030439
2019/2/7,22.653421,28.355553,21.577332
2019/2/8,22.67872,27.928684,21.139818
2019/2/11,22.383537,28.489944,21.577332
2019/2/12,22.316065,28.679663,22.084444
2019/2/13,22.459444,28.521566,22.134165
2019/2/14,22.383537,28.987963,22.293259
2019/2/15,22.61125,28.829863,22.362865
2019/2/18,22.552214,29.248827,22.512012
2019/2/19,23.066683,29.256735,23.257776
2019/2/20,22.999212,29.991911,20.911119
2019/2/21,23.420906,29.920767,19.787504
2019/2/22,23.572716,29.794281,18.932369
2019/2/25,23.631752,30.063055,18.942308
2019/2/26,23.353434,29.683607,18.14683
2019/2/27,23.47994,29.786379,18.465021
2019/2/28,23.614885,29.430649,19.151123
2019/3/1,23.640188,29.391125,19.330107
2019/3/4,23.496811,29.738945,20.046034
2019/3/5,23.378736,29.485987,20.573038
2019/3/6,23.42934,29.738945,21.070211
2019/3/7,23.404039,30.167444,20.592926
2019/3/8,22.872702,29.771889,20.378984
2019/3/11,22.872702,29.481272,19.881453
2019/3/12,22.594383,29.796106,21.085484
2019/3/13,22.602819,29.763815,21.413858
2019/3/14,22.451008,29.997923,22.259665
2019/3/15,22.223291,29.448986,22.379074
2019/3/18,22.273899,29.852615,23.06567
2019/3/19,22.181122,30.345045,23.06567
2019/3/20,22.223291,30.030214,22.886557
2019/3/21,22.307631,30.4177,23.264685
2019/3/22,22.366669,30.361193,23.204979
2019/3/25,21.860638,29.973703,22.170111
2019/3/26,21.793165,30.312752,22.418875
2019/3/27,21.877504,30.595297,22.727348
2019/3/28,21.944977,30.86977,23.155228
2019/3/29,21.953409,31.071583,23.005968
2019/4/1,22.155825,31.523655,22.458677
2019/4/2,22.324501,31.507505,23.015911
2019/4/3,22.2992,32.217896,23.234833
2019/4/4,22.147388,31.822336,23.115421
2019/4/5,21.885939,31.660881,22.408926
2019/4/8,21.75943,32.201752,22.538284
2019/4/9,21.632921,32.31477,22.627838
2019/4/10,21.658222,32.201752,22.588036
2019/4/11,21.514847,31.999941,22.976114
2019/4/12,21.944977,31.951504,22.976114
2019/4/15,22.138952,31.91921,22.796999
2019/4/16,22.273899,31.781975,23.135323
2019/4/17,22.535347,30.9182,21.791985
2019/4/18,22.585951,30.861698,21.175039
2019/4/23,22.838968,30.942421,21.234747
2019/4/24,23.066683,30.837481,22.239765
2019/4/26,23.108852,30.353117,22.617887
2019/4/29,23.049814,30.530714,22.986065
2019/4/30,22.940176,30.191666,22.269613
2019/5/1,23.572716,30.256247,22.52833
2019/5/2,22.999212,29.884903,22.239765
2019/5/3,23.117285,29.820324,23.075619
2019/5/6,23.235359,29.70731,21.891491
2019/5/7,23.19319,30.110941,22.956213
2019/5/8,23.269096,30.014069,22.000946
2019/5/9,23.3197,29.852615,21.811884
2019/5/10,23.19319,29.70731,21.981047
2019/5/13,22.958652,29.81225,21.672577
2019/5/14,22.671993,29.481272,21.194942
2019/5/15,22.83704,30.030214,21.672577
2019/5/16,23.158442,30.304686,22.190008
2019/5/17,22.454828,31.047363,23.185078
2019/5/20,24.200834,30.845549,22.428827
2019/5/21,24.695969,30.627586,22.170111
2019/5/22,24.652536,30.732533,22.508432
